

Strassen: n = 2     	time = 7.031E-6
Strassen: n = 2     	time = 4.532E-6
Strassen: n = 2     	time = 4.662E-6
Strassen: n = 2     	time = 4.404E-6
Strassen: n = 2     	time = 3.531E-6
Strassen: n = 2     	time = 3.327E-6
Strassen: n = 2     	time = 4.276E-6
Strassen: n = 2     	time = 3.973E-6
Strassen: n = 2     	time = 3.484E-6
Strassen: n = 2     	time = 3.988E-6
Classic: n = 2     	time = 1.2876E-5
Classic: n = 2     	time = 4.13E-6
Classic: n = 2     	time = 4.126E-6
Classic: n = 2     	time = 4.22E-6
Classic: n = 2     	time = 3.843E-6
Classic: n = 2     	time = 4.265E-6
Classic: n = 2     	time = 2.306E-6
Classic: n = 2     	time = 2.138E-6
Classic: n = 2     	time = 2.203E-6
Classic: n = 2     	time = 2.075E-6
DandC: n = 2     	time = 9.917E-6
DandC: n = 2     	time = 2.458E-6
DandC: n = 2     	time = 2.044E-6
DandC: n = 2     	time = 2.098E-6
DandC: n = 2     	time = 2.137E-6
DandC: n = 2     	time = 2.07E-6
DandC: n = 2     	time = 2.122E-6
DandC: n = 2     	time = 2.052E-6
DandC: n = 2     	time = 1.996E-6
DandC: n = 2     	time = 2.175E-6


Strassen: n = 4     	time = 2.6858E-5
Strassen: n = 4     	time = 2.4613E-5
Strassen: n = 4     	time = 1.8813E-5
Strassen: n = 4     	time = 1.8082E-5
Strassen: n = 4     	time = 1.7643E-5
Strassen: n = 4     	time = 1.7761E-5
Strassen: n = 4     	time = 1.8104E-5
Strassen: n = 4     	time = 1.836E-5
Strassen: n = 4     	time = 1.7676E-5
Strassen: n = 4     	time = 1.9774E-5
Classic: n = 4     	time = 4.269E-6
Classic: n = 4     	time = 4.325E-6
Classic: n = 4     	time = 4.315E-6
Classic: n = 4     	time = 4.298E-6
Classic: n = 4     	time = 4.231E-6
Classic: n = 4     	time = 4.222E-6
Classic: n = 4     	time = 4.382E-6
Classic: n = 4     	time = 4.766E-6
Classic: n = 4     	time = 4.332E-6
Classic: n = 4     	time = 4.49E-6
DandC: n = 4     	time = 9.774E-6
DandC: n = 4     	time = 1.0823E-5
DandC: n = 4     	time = 9.642E-6
DandC: n = 4     	time = 1.016E-5
DandC: n = 4     	time = 9.776E-6
DandC: n = 4     	time = 9.477E-6
DandC: n = 4     	time = 9.307E-6
DandC: n = 4     	time = 9.531E-6
DandC: n = 4     	time = 9.45E-6
DandC: n = 4     	time = 9.48E-6


Strassen: n = 8     	time = 1.42101E-4
Strassen: n = 8     	time = 1.43917E-4
Strassen: n = 8     	time = 1.38226E-4
Strassen: n = 8     	time = 9.9874E-5
Strassen: n = 8     	time = 1.05841E-4
Strassen: n = 8     	time = 1.09369E-4
Strassen: n = 8     	time = 9.6479E-5
Strassen: n = 8     	time = 1.36697E-4
Strassen: n = 8     	time = 9.39E-5
Strassen: n = 8     	time = 9.3838E-5
Classic: n = 8     	time = 2.2349E-5
Classic: n = 8     	time = 2.0696E-5
Classic: n = 8     	time = 1.9587E-5
Classic: n = 8     	time = 2.0727E-5
Classic: n = 8     	time = 1.9566E-5
Classic: n = 8     	time = 2.0751E-5
Classic: n = 8     	time = 1.9425E-5
Classic: n = 8     	time = 2.1056E-5
Classic: n = 8     	time = 2.3262E-5
Classic: n = 8     	time = 1.9922E-5
DandC: n = 8     	time = 5.7257E-5
DandC: n = 8     	time = 5.2106E-5
DandC: n = 8     	time = 5.2557E-5
DandC: n = 8     	time = 6.2607E-5
DandC: n = 8     	time = 7.1463E-5
DandC: n = 8     	time = 1.02236E-4
DandC: n = 8     	time = 7.2075E-5
DandC: n = 8     	time = 5.3124E-5
DandC: n = 8     	time = 5.1027E-5
DandC: n = 8     	time = 5.102E-5


Strassen: n = 16     	time = 2.38803E-4
Strassen: n = 16     	time = 1.7607E-4
Strassen: n = 16     	time = 2.30322E-4
Strassen: n = 16     	time = 1.92369E-4
Strassen: n = 16     	time = 1.63841E-4
Strassen: n = 16     	time = 1.7761E-4
Strassen: n = 16     	time = 1.62659E-4
Strassen: n = 16     	time = 1.61969E-4
Strassen: n = 16     	time = 2.0096E-4
Strassen: n = 16     	time = 1.63942E-4
Classic: n = 16     	time = 1.28344E-4
Classic: n = 16     	time = 1.27947E-4
Classic: n = 16     	time = 1.27443E-4
Classic: n = 16     	time = 1.84772E-4
Classic: n = 16     	time = 2.00396E-4
Classic: n = 16     	time = 1.98752E-4
Classic: n = 16     	time = 1.43554E-4
Classic: n = 16     	time = 1.28584E-4
Classic: n = 16     	time = 1.28389E-4
Classic: n = 16     	time = 1.27844E-4
DandC: n = 16     	time = 4.24516E-4
DandC: n = 16     	time = 3.88415E-4
DandC: n = 16     	time = 3.96868E-4
DandC: n = 16     	time = 8.6033E-4
DandC: n = 16     	time = 3.87718E-4
DandC: n = 16     	time = 3.86731E-4
DandC: n = 16     	time = 3.87038E-4
DandC: n = 16     	time = 3.87532E-4
DandC: n = 16     	time = 3.86963E-4
DandC: n = 16     	time = 4.27456E-4


Strassen: n = 32     	time = 0.001050134
Strassen: n = 32     	time = 8.33193E-4
Strassen: n = 32     	time = 8.47364E-4
Strassen: n = 32     	time = 8.85793E-4
Strassen: n = 32     	time = 8.58862E-4
Strassen: n = 32     	time = 8.57482E-4
Strassen: n = 32     	time = 8.88795E-4
Strassen: n = 32     	time = 8.57099E-4
Strassen: n = 32     	time = 9.01106E-4
Strassen: n = 32     	time = 0.001069719
Classic: n = 32     	time = 9.50164E-4
Classic: n = 32     	time = 9.35905E-4
Classic: n = 32     	time = 9.50824E-4
Classic: n = 32     	time = 9.15489E-4
Classic: n = 32     	time = 9.06567E-4
Classic: n = 32     	time = 9.1108E-4
Classic: n = 32     	time = 0.001322517
Classic: n = 32     	time = 1.7845E-4
Classic: n = 32     	time = 1.76065E-4
Classic: n = 32     	time = 1.80603E-4
DandC: n = 32     	time = 3.9487E-4
DandC: n = 32     	time = 3.43671E-4
DandC: n = 32     	time = 3.37992E-4
DandC: n = 32     	time = 5.49115E-4
DandC: n = 32     	time = 3.31951E-4
DandC: n = 32     	time = 3.30125E-4
DandC: n = 32     	time = 3.60042E-4
DandC: n = 32     	time = 3.26582E-4
DandC: n = 32     	time = 3.39702E-4
DandC: n = 32     	time = 3.58592E-4


Strassen: n = 64     	time = 0.006099402
Strassen: n = 64     	time = 0.006328598
Strassen: n = 64     	time = 0.006707045
Strassen: n = 64     	time = 0.006325089
Strassen: n = 64     	time = 0.006318667
Strassen: n = 64     	time = 0.006457464
Strassen: n = 64     	time = 0.006309122
Strassen: n = 64     	time = 0.006304265
Strassen: n = 64     	time = 0.006367835
Strassen: n = 64     	time = 0.006145567
Classic: n = 64     	time = 0.00127654
Classic: n = 64     	time = 0.00122749
Classic: n = 64     	time = 0.001430463
Classic: n = 64     	time = 0.001232286
Classic: n = 64     	time = 0.001241695
Classic: n = 64     	time = 0.001231139
Classic: n = 64     	time = 0.001228431
Classic: n = 64     	time = 3.65312E-4
Classic: n = 64     	time = 3.57826E-4
Classic: n = 64     	time = 3.23995E-4
DandC: n = 64     	time = 0.002450658
DandC: n = 64     	time = 0.002612925
DandC: n = 64     	time = 0.002393852
DandC: n = 64     	time = 0.002496304
DandC: n = 64     	time = 0.002472459
DandC: n = 64     	time = 0.002743388
DandC: n = 64     	time = 0.002436837
DandC: n = 64     	time = 0.002460259
DandC: n = 64     	time = 0.002532437
DandC: n = 64     	time = 0.005691676


Strassen: n = 128     	time = 0.037456168
Strassen: n = 128     	time = 0.038821675
Strassen: n = 128     	time = 0.038246919
Strassen: n = 128     	time = 0.034888513
Strassen: n = 128     	time = 0.035479024
Strassen: n = 128     	time = 0.03971025
Strassen: n = 128     	time = 0.035785076
Strassen: n = 128     	time = 0.035544631
Strassen: n = 128     	time = 0.035908039
Strassen: n = 128     	time = 0.036132827
Classic: n = 128     	time = 0.002438688
Classic: n = 128     	time = 0.002371819
Classic: n = 128     	time = 0.002379899
Classic: n = 128     	time = 0.00238288
Classic: n = 128     	time = 0.002431976
Classic: n = 128     	time = 0.002383424
Classic: n = 128     	time = 0.002411269
Classic: n = 128     	time = 0.002381775
Classic: n = 128     	time = 0.002371031
Classic: n = 128     	time = 0.002374035
DandC: n = 128     	time = 0.020150653
DandC: n = 128     	time = 0.01990801
DandC: n = 128     	time = 0.019905235
DandC: n = 128     	time = 0.021739618
DandC: n = 128     	time = 0.019733646
DandC: n = 128     	time = 0.019909056
DandC: n = 128     	time = 0.019829534
DandC: n = 128     	time = 0.019858159
DandC: n = 128     	time = 0.019506393
DandC: n = 128     	time = 0.019721369


Strassen: n = 256     	time = 0.256212339
Strassen: n = 256     	time = 0.256766606
Strassen: n = 256     	time = 0.251897223
Strassen: n = 256     	time = 0.26237829
Strassen: n = 256     	time = 0.252758764
Strassen: n = 256     	time = 0.252161442
Strassen: n = 256     	time = 0.253342719
Strassen: n = 256     	time = 0.254126361
Strassen: n = 256     	time = 0.250619618
Strassen: n = 256     	time = 0.276503224
Classic: n = 256     	time = 0.027094583
Classic: n = 256     	time = 0.027376087
Classic: n = 256     	time = 0.027252593
Classic: n = 256     	time = 0.027045426
Classic: n = 256     	time = 0.027034303
Classic: n = 256     	time = 0.027385393
Classic: n = 256     	time = 0.027073355
Classic: n = 256     	time = 0.027060215
Classic: n = 256     	time = 0.027602652
Classic: n = 256     	time = 0.028290422
DandC: n = 256     	time = 0.152448173
DandC: n = 256     	time = 0.158157157
DandC: n = 256     	time = 0.157118006
DandC: n = 256     	time = 0.158761183
DandC: n = 256     	time = 0.161503965
DandC: n = 256     	time = 0.157587453
DandC: n = 256     	time = 0.155784588
DandC: n = 256     	time = 0.155351286
DandC: n = 256     	time = 0.160541622
DandC: n = 256     	time = 0.159254789


Strassen: n = 512     	time = 1.805583089
Strassen: n = 512     	time = 1.801136094
Strassen: n = 512     	time = 1.780151252
Strassen: n = 512     	time = 1.803350623
Strassen: n = 512     	time = 1.819831994
Strassen: n = 512     	time = 1.784786823
Strassen: n = 512     	time = 1.778339387
Strassen: n = 512     	time = 1.840123539
Strassen: n = 512     	time = 1.806854566
Strassen: n = 512     	time = 1.844260278
Classic: n = 512     	time = 0.498232412
Classic: n = 512     	time = 0.495820331
Classic: n = 512     	time = 0.497177573
Classic: n = 512     	time = 0.491625182
Classic: n = 512     	time = 0.492177203
Classic: n = 512     	time = 0.50336814
Classic: n = 512     	time = 0.507673867
Classic: n = 512     	time = 0.503939224
Classic: n = 512     	time = 0.502805152
Classic: n = 512     	time = 0.49189101
DandC: n = 512     	time = 1.231173344
DandC: n = 512     	time = 1.25572646
DandC: n = 512     	time = 1.244736395
DandC: n = 512     	time = 1.239304224
DandC: n = 512     	time = 1.248010991
DandC: n = 512     	time = 1.265271892
DandC: n = 512     	time = 1.239996153
DandC: n = 512     	time = 1.2510513
DandC: n = 512     	time = 1.266996046
DandC: n = 512     	time = 1.27574858


Strassen: n = 1024     	time = 12.587597148
Strassen: n = 1024     	time = 12.512355394
Strassen: n = 1024     	time = 12.395509316
Strassen: n = 1024     	time = 12.384808743
Strassen: n = 1024     	time = 12.462119392
Strassen: n = 1024     	time = 12.431381261
Strassen: n = 1024     	time = 12.905335745
Strassen: n = 1024     	time = 12.661619602
Strassen: n = 1024     	time = 12.397996172
Strassen: n = 1024     	time = 12.469880405
Classic: n = 1024     	time = 2.223357863
Classic: n = 1024     	time = 2.198353443
Classic: n = 1024     	time = 2.19216185
Classic: n = 1024     	time = 2.199842673
Classic: n = 1024     	time = 2.194558771
Classic: n = 1024     	time = 2.242237209
Classic: n = 1024     	time = 2.21447344
Classic: n = 1024     	time = 2.203674033
Classic: n = 1024     	time = 2.202288008
Classic: n = 1024     	time = 2.1888323
DandC: n = 1024     	time = 10.128183386
DandC: n = 1024     	time = 10.048804544
DandC: n = 1024     	time = 10.077488078
DandC: n = 1024     	time = 10.14285689
DandC: n = 1024     	time = 10.119475113
DandC: n = 1024     	time = 10.168393651
DandC: n = 1024     	time = 10.160199169
DandC: n = 1024     	time = 10.108216876
DandC: n = 1024     	time = 10.143606639
DandC: n = 1024     	time = 10.148493787


Strassen: n = 2048     	time = 86.751664883
Strassen: n = 2048     	time = 86.870286109
Strassen: n = 2048     	time = 86.370351194
Strassen: n = 2048     	time = 87.573898097
Strassen: n = 2048     	time = 87.299898495
Strassen: n = 2048     	time = 86.997490841
Strassen: n = 2048     	time = 87.176905292
Strassen: n = 2048     	time = 86.576284441
Strassen: n = 2048     	time = 87.055568863
Strassen: n = 2048     	time = 87.439664269
Classic: n = 2048     	time = 63.292723109
Classic: n = 2048     	time = 75.19434003
Classic: n = 2048     	time = 82.516221962
Classic: n = 2048     	time = 95.793178569
Classic: n = 2048     	time = 83.027419322
Classic: n = 2048     	time = 73.289419247
Classic: n = 2048     	time = 65.078246433
Classic: n = 2048     	time = 65.50790143
Classic: n = 2048     	time = 64.991055862
Classic: n = 2048     	time = 83.908231099
DandC: n = 2048     	time = 84.96311855
DandC: n = 2048     	time = 84.372959253
DandC: n = 2048     	time = 83.678297203
DandC: n = 2048     	time = 83.998363306
DandC: n = 2048     	time = 83.763559131
DandC: n = 2048     	time = 84.264972825
DandC: n = 2048     	time = 83.803031526
DandC: n = 2048     	time = 84.648979723
DandC: n = 2048     	time = 84.398133568
DandC: n = 2048     	time = 85.971948395


Strassen: n = 4096     	time = 612.315031096
Strassen: n = 4096     	time = 611.985475094
Strassen: n = 4096     	time = 610.711441957
Strassen: n = 4096     	time = 608.059621269
Strassen: n = 4096     	time = 611.708781703
Strassen: n = 4096     	time = 610.753060393
Strassen: n = 4096     	time = 612.324822137
Strassen: n = 4096     	time = 615.37784463
Strassen: n = 4096     	time = 614.314565224
Strassen: n = 4096     	time = 610.573443987
Classic: n = 4096     	time = 898.386706007
Classic: n = 4096     	time = 819.778276328
Classic: n = 4096     	time = 756.427230764
Classic: n = 4096     	time = 767.406755247
Classic: n = 4096     	time = 732.188738636
Classic: n = 4096     	time = 867.038936151
Classic: n = 4096     	time = 871.820066586
Classic: n = 4096     	time = 891.977032936
Classic: n = 4096     	time = 975.098651953
Classic: n = 4096     	time = 897.415665788
DandC: n = 4096     	time = 680.343729258
DandC: n = 4096     	time = 678.292039864
DandC: n = 4096     	time = 678.885849792
DandC: n = 4096     	time = 682.065734628
DandC: n = 4096     	time = 680.356985927
DandC: n = 4096     	time = 682.687983806
DandC: n = 4096     	time = 700.490294019
DandC: n = 4096     	time = 698.230861181
DandC: n = 4096     	time = 684.880839709
DandC: n = 4096     	time = 691.3348105
